"No.","Time","Source","Destination","Protocol","Length","Info"
"79","0.790469","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=5521 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
"80","0.790469","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=6901 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
"81","0.790661","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::287e:1221","TCP","74","63591  >  443 [ACK] Seq=5046 Ack=8281 Win=255 Len=0"
"82","0.792498","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=8281 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
"83","0.793201","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=9661 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
"84","0.793302","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::287e:1221","TCP","74","63591  >  443 [ACK] Seq=5046 Ack=11041 Win=255 Len=0"
"85","0.797792","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=11041 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
"86","0.797792","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","266","Application Data"
"87","0.797956","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::287e:1221","TCP","74","63591  >  443 [ACK] Seq=5046 Ack=12613 Win=255 Len=0"
"88","0.887945","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1276","80  >  61100 [ACK] Seq=5856 Ack=681 Win=32768 Len=1202 [TCP PDU reassembled in 95]"
"89","0.892534","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  61100 [ACK] Seq=7058 Ack=681 Win=32768 Len=1380 [TCP PDU reassembled in 95]"
"90","0.892534","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  61100 [PSH, ACK] Seq=8438 Ack=681 Win=32768 Len=1380 [TCP PDU reassembled in 95]"
"91","0.892534","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  61100 [ACK] Seq=9818 Ack=681 Win=32768 Len=1380 [TCP PDU reassembled in 95]"
"92","0.892720","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","TCP","74","61100  >  80 [ACK] Seq=681 Ack=11198 Win=65280 Len=0"
"93","0.893007","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  61100 [PSH, ACK] Seq=11198 Ack=681 Win=32768 Len=1380 [TCP PDU reassembled in 95]"
"94","0.893007","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  61100 [ACK] Seq=12578 Ack=681 Win=32768 Len=1380 [TCP PDU reassembled in 95]"
